Date,Open,High,Low,Close,Adj Close,Volume
2020-01-23,8300.000000,8375.000000,8275.000000,8325.000000,7865.981445,3400500
2020-01-24,8325.000000,8325.000000,8150.000000,8175.000000,7724.252441,7927900
2020-01-27,8175.000000,8300.000000,8075.000000,8275.000000,7818.739258,7078300
2020-01-28,8275.000000,8300.000000,8100.000000,8250.000000,7795.116699,8825000
2020-01-29,8250.000000,8300.000000,8225.000000,8250.000000,7795.116699,4723100
2020-01-30,8250.000000,8250.000000,8150.000000,8225.000000,7771.495605,4297800
2020-01-31,8225.000000,8225.000000,7950.000000,7950.000000,7511.658203,17743300
2020-02-03,7950.000000,8075.000000,7800.000000,7850.000000,7417.171875,8731500
2020-02-04,7850.000000,7950.000000,7850.000000,7875.000000,7440.793945,8182500
2020-02-05,7900.000000,8100.000000,7850.000000,8100.000000,7653.388184,7284300
2020-02-06,8100.000000,8100.000000,7950.000000,7950.000000,7511.658203,10884300
2020-02-07,7950.000000,7975.000000,7900.000000,7900.000000,7464.415527,11461800
2020-02-10,7900.000000,7925.000000,7800.000000,7875.000000,7440.793945,6277000
2020-02-11,7850.000000,7875.000000,7825.000000,7850.000000,7417.171875,5773900
2020-02-12,7825.000000,7850.000000,7575.000000,7600.000000,7180.956055,17269400
2020-02-13,7575.000000,7600.000000,7350.000000,7400.000000,6991.983398,13678700
2020-02-14,7400.000000,7625.000000,7300.000000,7475.000000,7062.848633,8792800
2020-02-17,7475.000000,7500.000000,7325.000000,7400.000000,6991.983398,8267100
2020-02-18,7350.000000,7475.000000,7325.000000,7400.000000,6991.983398,11377400
2020-02-19,7400.000000,7500.000000,7375.000000,7475.000000,7062.848633,7178400
2020-02-20,7500.000000,7700.000000,7475.000000,7650.000000,7228.199707,11991000
2020-02-21,7650.000000,7650.000000,7475.000000,7500.000000,7086.469727,9864100
2020-02-24,7400.000000,7425.000000,7225.000000,7225.000000,6826.632813,11614600
2020-02-25,7150.000000,7350.000000,7075.000000,7300.000000,6897.497559,14739700
2020-02-26,7250.000000,7375.000000,7200.000000,7300.000000,6897.497559,10567900
2020-02-27,7300.000000,7300.000000,7025.000000,7150.000000,6755.768555,13251400
2020-02-28,7075.000000,7075.000000,6725.000000,6825.000000,6448.687988,34476300
2020-03-02,6825.000000,7200.000000,6800.000000,6900.000000,6519.552734,20747600
2020-03-03,7100.000000,7200.000000,6950.000000,7125.000000,6732.146484,27945100
2020-03-04,7125.000000,7450.000000,7100.000000,7425.000000,7015.605469,16142200
2020-03-05,7475.000000,7600.000000,7375.000000,7400.000000,6991.983398,12512400
2020-03-06,7375.000000,7475.000000,7225.000000,7450.000000,7039.226563,10982200
2020-03-09,7000.000000,7200.000000,6900.000000,7025.000000,6637.660645,21278700
2020-03-10,7025.000000,7375.000000,7025.000000,7100.000000,6708.524902,14816900
2020-03-11,7100.000000,7450.000000,7075.000000,7300.000000,6897.497559,19638900
2020-03-12,7225.000000,7450.000000,7000.000000,7225.000000,6826.632813,20637800
2020-03-13,7225.000000,7225.000000,7225.000000,7225.000000,6826.632813,0
2020-03-16,7475.000000,7500.000000,6975.000000,6975.000000,6590.417480,18254300
2020-03-17,6975.000000,7175.000000,6500.000000,6500.000000,6141.607422,29370900
2020-03-18,6650.000000,6650.000000,6050.000000,6050.000000,5716.418945,34350500
2020-03-19,6050.000000,6150.000000,5650.000000,5650.000000,5338.474121,13743300
2020-03-20,5475.000000,6475.000000,5275.000000,6225.000000,5881.770020,45224600
2020-03-23,6125.000000,6225.000000,5800.000000,5800.000000,5480.203613,16961000
2020-03-24,5900.000000,6100.000000,5575.000000,5675.000000,5362.095215,19279500
2020-03-26,5825.000000,6800.000000,5825.000000,6775.000000,6401.444824,29296900
2020-03-27,7000.000000,7725.000000,6500.000000,6800.000000,6425.065918,30521200
2020-03-30,6775.000000,6800.000000,6325.000000,6425.000000,6070.742676,18135300
2020-03-31,6600.000000,7250.000000,6600.000000,7250.000000,6850.254395,27011000
2020-04-01,7250.000000,7475.000000,7000.000000,7150.000000,6755.768555,13801800
2020-04-02,7150.000000,7225.000000,6925.000000,7225.000000,6826.632813,11148700
2020-04-03,7225.000000,7250.000000,6925.000000,7100.000000,6708.524902,18556300
2020-04-06,7125.000000,7300.000000,7100.000000,7300.000000,6897.497559,8882300
2020-04-07,7350.000000,7600.000000,7050.000000,7275.000000,6873.875977,11884600
2020-04-08,7250.000000,7250.000000,6800.000000,7125.000000,6732.146484,14428900
2020-04-09,7000.000000,7250.000000,6900.000000,7250.000000,6850.254395,8617000
2020-04-13,7250.000000,7250.000000,7050.000000,7100.000000,6708.524902,4282500
2020-04-14,7100.000000,7150.000000,7025.000000,7150.000000,6755.768555,6534300
2020-04-15,7150.000000,7200.000000,6925.000000,6975.000000,6590.417480,11877300
2020-04-16,6975.000000,6975.000000,6600.000000,6650.000000,6283.336914,17260700
2020-04-17,6800.000000,6950.000000,6800.000000,6875.000000,6495.930664,11696600
2020-04-20,6900.000000,7075.000000,6875.000000,7000.000000,6614.038086,13853300
2020-04-21,7000.000000,7075.000000,6850.000000,6925.000000,6543.173828,10394700
2020-04-22,7000.000000,7150.000000,6800.000000,7100.000000,6708.524902,10220900
2020-04-23,7100.000000,7700.000000,7050.000000,7500.000000,7086.469727,26530100
2020-04-24,7400.000000,7700.000000,7350.000000,7500.000000,7086.469727,28075100
2020-04-27,7500.000000,7725.000000,7425.000000,7500.000000,7086.469727,9643200
2020-04-28,7525.000000,7925.000000,7525.000000,7850.000000,7417.171875,21296700
2020-04-29,7900.000000,8025.000000,7650.000000,8000.000000,7558.901367,16761500
